address,kind,depth,title,source_line,note
2090/101,b,4,"Sociology of peace, war, and social conflict",1108,
2090/102,b,4,Sociology of punishment,1109,
2090/103,b,4,Sociology of race and ethnic relations,1110,
2090/104,b,4,Sociology of religion,1111,
2090/105,b,4,Sociology of risk,1112,
2090/106,b,4,Sociology of science,1113,
2090/107,b,4,Sociology of scientific knowledge,1114,
2090/108,b,4,Sociology of social change,1115,
2090/109,b,4,Sociology of social movements,1116,
2090/110,b,4,Sociology of space,1117,
2090/111,b,4,Sociology of sport,1118,
2090/112,b,4,Sociology of technology,1119,
2090/113,b,4,Sociology of terrorism,1120,
2090/114,b,4,Sociology of the body,1121,
2090/115,b,4,Sociology of the family,1122,
2090/116,b,4,Sociology of the history of science,1123,
2090/117,b,4,Sociology of the Internet,1124,
2090/118,b,4,Sociology of work,1125,
2090/119,b,4,Sociomusicology,1126,
2090/120,b,4,Structural sociology,1127,
2090/121,b,4,Theoretical sociology,1128,
2090/122,b,4,Urban studies or Urban sociology/Rural sociology,1129,
2090/123,b,4,Victimology,1130,
2090/124,b,4,Visual sociology,1131,
2090/125,b,4,Social theory,1132,
2090/126,b,4,Social stratification,1133,
2090/127,b,4,Sociological theory,1134,
2090/128,b,4,Sociobiology,1135,
2090/129,b,4,Sociocybernetics,1136,
2090/130,b,4,Sociolinguistics,1137,
2100,h,1,Interdisciplinary studies,1139,
2101,h,2,Area studies,1141,
2101/1,b,4,African studies,1143,
2101/2,b,4,American studies,1144,
2101/2a,b,5,Appalachian studies,1145,
2101/2b,b,5,Canadian studies,1146,
2101/2c,b,5,Latin American studies,1147,
2101/3,b,4,Asian studies,1148,
2101/3a,b,5,Central Asian studies,1149,
2101/3b,b,5,East Asian studies,1150,
2101/3c,b,5,Iranian studies,1151,
2101/3d,b,5,Japanology (Japanese studies),1152,
2101/3e,b,5,Korean studies,1153,
2101/3f,b,5,Sinology (Chinese studies),1154,
2101/3g,b,5,Indology (South Asian studies),1155,
2101/3g1,b,6,Bengal studies,1156,
2101/3g2,b,6,Dravidian studies (Dravidology),1157,
2101/3g2a,b,7,Tamilology,1158,
2101/3g3,b,6,Pakistan studies,1159,
2101/3g4,b,6,Sindhology,1160,
2101/3h,b,5,Southeast Asian studies,1161,
2101/4,b,4,European studies,1162,
2101/4a,b,5,Celtic studies,1163,
2101/4b,b,5,German studies,1164,
2101/4c,b,5,Indo-European studies,1165,
2101/4d,b,5,Scandinavian studies,1166,
2101/4e,b,5,Slavic studies,1167,
2101/5,b,4,Australian studies,1168,
2101/6,b,4,Pacific studies,1169,
2101/7,b,4,Middle East studies,1170,
2101/7a,b,5,Turkology (Turkish studies),1171,
2101/8,b,4,Russian and Eastern European studies,1172,
2102,h,2,Ethnic and cultural studies,1174,
2102/1,b,4,Cultural studies,1176,
2102/2,b,4,Ethnic studies,1177,
2102/3,b,4,Ethnology,1178,
2102/4,b,4,Culturology,1179,
2102/5,b,4,Cross-cultural studies,1180,
2103,h,2,Organizational studies,1182,
2103/1,b,4,Business administration,1184,
2103/2,b,4,Business economics,1185,
2103/3,b,4,Business studies,1186,
2103/4,b,4,Human resources management,1187,
2103/5,b,4,Industrial organization,1188,
2103/6,b,4,Management,1189,
2103/7,b,4,Organizational behavior,1190,
2103/8,b,4,Organization theory,1191,
2103/9,b,4,Project management,1192,
2103/10,b,4,Quality control,1193,
3000,h,0,Natural science,1195,
3010,h,1,Physical Science,1197,
3011,h,2,Space sciences,1199,
3011/1,b,4,Aerospace engineering,1201,
3011/1a,b,5,Aerospace architecture,1202,
3011/1b,b,5,Aerospace physiology,1203,
